Origem;Título;Palestrante
S03E08;Tradutores formados, informados e desenformados. Nossos muitos caminhos;Daniel Estill
S03E09;Falsos cognatos e decalques na tradução médica inglês>português;Juliana Samel
S03E10;Tradução de games? É muito simples! #sqn;Val Ivonica
S03E11;Os desafios da interpretação nos eventos esportivos;Rosita Belinky
S03E12;CAT Tools e Machine Translations: discutindo a relação;Jorge Davidson
S03E13;Experiência com tradução jurídica do gênero contrato;Alessandra e Carlos Harmel
S03E14;O tradutor nômade digital;Carmen Reis
S03E15;Tradutor como empreendedor: da criação de marca ao relacionamento com o cliente;Caroline Alberoni
S03E16;Tempos verbais e suas especificidades nas versões de artigos científicos para o inglês;Gilson Mattos
S03E17;Como usar ferramentas de corpus para dar mais naturalidade ao seu texto;Daniel Erlich
S03E18;Tradução de videogames: o ponto de vista do tradutor;Michel Teixeira
S03E19;SDL Studio: primeiros passos;Cristiane Tribst
S03E20;10 anos traduzindo de tudo. Minha carreira na VICE Brasil;Marina Schnoor
S03E21;Como conciliar as carreiras de tradutor e intérprete;Marsel de Souza
S03E22;Como traduzir a Terra-média;Reinaldo José Lopes
S03E23;Amigos, amigos, trabalhos à parte: o trabalho com colegas contratantes;Daniele Fonseca
S03E24;AMA (Ask me anything) sobre localização de jogos!;Paula Ianelli
S03E25;Profissão tradutor/intérprete de Libras - trajetórias e formação;Paloma Bueno
S03E26;Ask me anything sobre legendagem;Leilane Papa
S03E27;Traduzindo para a cena;Cláudia Cruz
S03E28;Cobrança e negociação para tradutores;Simone Resende
S03E29;Tradução de literatura infantil e infanto-juvenil: un plus a mais;Andréia Manfrin Alves
S03E30;Tradução no esporte ou esporte na tradução?;Ulisses de Carvalho e Jayme Pinto
S03E31;What the heck! A internacionalização da Dona Hermínia;Ligia Fragano Sobral
S03E32;Audiodescrição rima com tradução de muitas maneiras além da sonoridade;Ana Julia Perrotti
S03E33;Traduzindo jogos de tabuleiro;Juliana Gallo
S03E34;O fantástico mundo da pesquisa clínica;Kelly Elizeu
S03E35;Que tal aprender como fazer seu próprio glossário?;Ciça Lopes
S03E36;Notas: muito além dos símbolos;Érika Lessa
S03E37;Localização de jogos de tabuleiro;Luciana Boldorini e Ivar Jr.
S03E38;Tradução automática na tradução técnica: testamos uma abordagem;Carolina Bisson
S03E39;Tradução de patentes: por onde começar?;Beatriz Araújo
S03E40;O papel da revisão na tradução;Beatriz Santana
S03E41;Em busca da naturalidade;Petê Rissatti
S03E42;Tradutores euprendedores e o relacionamento com o cliente;Rane Souza
S03E43;Os desafios da produção editorial de best-sellers;Suelen Lopes
S03E44;Traduzir RPG é sempre um desafio;Jana Bianchi
S03E45;Legendagem especializada: foco no gênero institucional;Carol Alfaro
S03E46;Rock’n roll x livros (histórias+idiomas+mistura cultural) ideias = tradutora literária;Amarilis Okida
S03E47;Palestra nº 100 — Línguas estrangeiras + negócios + tecnologia = tradução e interpretação;Cris Silva
S04E01;Como é que traduz essa porr@?;Evelise Scapol e Renato Geraldes
S04E02;Kit de sobrevivência: Vinte dicas pra se manter na tradução;Andressa Gatto
S04E03;Linguagem inclusiva: gênero, política e linguagem;Ana Elisa Ribeiro
S04E04;O Skill Set do intérprete;Marcelle Castro
S04E05;Afinal, o que é gramática?;Amanda Moura
S04E06;Traduttore, traditore e manipolatore - uma palestra em português brasileiro;Letícia Sallorenzo
S04E07;Como fazer para sempre lembrar dos termos nas suas línguas?;Denise Araujo
S04E08;O Diário de Mika acessível em libras;Juliana Fernandes
S04E09;Linguística e Tradução: entre tapas e beijos;Meritxell Almarza
S04E10;Interpretação Comunitária: um instrumento de acesso a direitos fundamentais;Mylene Queiroz e Jaqueline Nordin
S04E11;Como a tecnologia facilita a vida do tradutor;Rafa Lombardino
S04E12;Sprechen Sie Deutsch? Dois tradutores brasileiros na Alemanha;Bete Köninger e Marcos Zattar
S04E13;A importância das ferramentas digitais para a tradução;Valter Mendes Jr.
S04E14;A importância dos Guias de Estilo na tradução;Roberta Jenkins
S04E15;Perdido ou cantando a caminho do banco? Como anda você na profissão um ano depois do mundo mudar?;Richard Laver
S04E16;Da Paraíba para o mundo: legendagem de curtas-metragens paraibanos;Victoria Cabral
S04E17;Mentoring: a ferramenta para conseguir uma carreira em tradução;Ana Saldanha
S04E18;As novas práticas de legendagem com o avanço do streaming;Ygor Blanco
S04E19;Traduzir Machado de Assis: causos e percalços do Bruxo além-fronteiras;Pablo Cardellino
S04E20;Norma linguística e tradução — O que é traduzir para o português brasileiro;Marcos Bagno
S04E21;Tradução técnica – Recursos e desafios;Sónia Tavares
S04E22;Sua amiga, a tradução automática;Silvio Picinini
S04E23;“Às voltas com a Babel”: profissionalizando a gestão de uma empresa;Igor Lourenço e Isabel Borges
S04E24;Gerativismo - A gramática que está escondida no nosso subconsciente;Gii Agria
S04E25;Tradução em Direitos Humanos: oportunidades e desafios;Mariana Almeida
S04E26;O jeito que a gente diz: em busca da naturalidade;Stella Tagnin
S04E27;Quem está certo? A eterna batalha entre revisão e tradução;Fabiana Zardo
S04E28;Vivendo da tradução em Portugal;Raissa Duboc
S04E29;Como aprimorar sua carreira na tradução com o voluntariado;Catherine Christaki e Karen Tkaczyk
S04E30;A legendagem na publicidade: particularidades e novas tendências;Dafne Baddini
S04E31;De intérprete infantil oficial da família a intérprete profissional!;Katia Georges Chedraoui
S04E32;Legendagem: Descomplicando a Sincronia no Subtitle Edit;Matheus Maggi
S04E33;Gestão Financeira: Planejamento, administração e gestão do dinheiro;Rodrigo Anunciato
S04E34;EULA: usando a internet a nosso favor;Fernanda Vitarelli
S04E35;Translation and Interpreting in the USA;David Rumsey
S04E36;Preparação de texto, que bicho é esse?;Laura Folgueira
S04E37;Como simplificar seu inglês na tradução técnica;Rômulo Faria
S04E38;Falando de tradução para localização (apps, softwares, sites);Samira Spolidorio
S04E39;Linguagem neutra: a aplicação e seus desafios;Giovana Bomentre
S04E40;Jornalismo e tradução: tão íntimos e tão estranhos;Patrícia Franco
S04E41;Filhos e Carreira: lições e dicas de tradutores e intérpretes;Luciane Camargo
S04E42;Condições que devemos exigir para a interpretação remota;Tony Rosado
S04E42;Conditions we must demand for remote interpreting;Tony Rosado
S04E43;Como sua mãe já dizia: você não é todo mundo;Regiane Winarski
S04E45;Conhecimento é poder;Natalie Gerhardt
S04E46;Italiano e português: tão parecidos e tão diferentes;Mauro Moser
S04E47;Langue x Parole: uma discussão dicotômica “nesSAUSSUREa”;Lia Bittencourt
S04E48;Máquinas, política e futebol: traduzindo do alemão;Marcelo Neves
S04E49;FAQ de tradutores sobre finanças e investimentos;Isabela Fontanella
S04E50;A Sétima Maravilha das Organizações Internacionais;Claudinei Nunes e Mônica Lange
S04E51;Achados de uma mentoria: o que aprendemos ensinando tradução literária;Debora Fleck e Mariana Serpa
S05E01;Erros recorrentes em revisão e técnicas para solucioná-los;Hariele Quara
S05E02;A gênese da tradução da obra The Scandals of Translation, de Lawrence Venuti;Marileide Dias Esqueda
S05E03;Indo além da tradução: novos caminhos e oportunidades para profissionais do texto;Luciana Boldorini e Ivar Jr.
S05E04;Per aspera ad astra: a tradução de High Frontier 4 All;Ricardo Garcia
S05E05;Dicas para otimizar o seu processo de revisão;Luiza Leite Ferreira
S05E06;Da boca para o texto escrito;Amarilis Okida
S05E07;A comunicação intercultural pelos olhos de uma intérprete de japonês;Anna Ligia Pozzetti
S05E08;Jogo de palavras: localização de jogos de tabuleiro;Paula Pizauro
S05E09;Reflexões sobre a criação de recursos visuais a partir de conteúdos textuais;Mariana Casetto
S05E10;Tradução de jogos — O mercado brasileiro;Maryanne Linz e Edmo Suassuna
S05E11;Closed Caption: legenda com emoção;Diego Marsicano
S05E12;Ficção histórica: tudo serve para alguma coisa;Monique D'Orazio
S05E13;Melhores práticas de LQA: um Fail diz tudo?;Andrea Gonçalves Pinto
S05E14;Legendagem em tempo real feita por estenotipia com tradução simultânea;Giovana Lara
S05E15;Os desafios na tradução de Uma mulher estranha, da escritora feminista turca Leylâ Erbil;Marco S. de Pinto
S05E16;Contra o terraplanismo linguístico na tradução;Rane Souza e Jorge Davidson
S05E17;Equipamentos e RSI: o que fazer, o que não fazer, quando chorar;Daniel Maciel
S05E18;O que é e como funciona uma boutique de tradução jurídica;Bruna Marchi
S05E19;Cadê o original que estava aqui? Quando uma tradutora se torna copywriter;Lara Talhaferro
S05E20;Tradutores juramentados: mitos e verdades;Carolina Ventura
S05E21;Variantes linguísticas: com que roupa eu vou?;Danny Reis
S05E22;Interação humano-computador na tradução: dos benefícios aos desafios;Rossana Cunha
S05E23;Quality Assurance no cliente: o outro lado da mesa;Priscila Mottola
S05E24;Localização de games: linguagem e mídia;Horacio Corral
S05E25;VERSÃO BRASILEIRA: os desafios e as alegrias de adaptar canções para o português;Mariana Elisabetsky
S05E26;UTF? ANSI? O que são codificações de texto, por que existem e como lidar com elas no trabalho de legendagem;Guilherme Gama
S05E27;Mercado de trabalho — Teoria e prática;Isabel Riera
S05E28;Linux para tradutores;Rafa Lombardino
S05E29;Uma porta para grandes oportunidades;Wania Grandesso
S05E30;A tradutora roqueira: livros, música e interação com os leitores;Candice Soldatelli
S05E31;Dicionário Gastronômico: receita e degustação;Rozane Rebechi
S05E32;Qual é a dimensão do mundo do tradutor?;Juliana Pazetti
S05E33;Tradução de textos de turismo e viagem: características e teoria funcionalista;Sofia Pulici
S05E34;Traduzindo Neil Gaiman e outras criaturas fantásticas;Renata Pettengill
S05E35;A Tradulação de Krazy Kat e Otros Kuadrinhos Komplicados (sic);Érico Assis
S05E36;Os paralelos entre o trabalho do tradutor dos serviços de inteligência e o trabalho do tradutor freelancer;Melissa Harkin
S05E37;O papel vital de comunicação do revisor;Marsel de Souza
S05E38;As palavras e nossa mitologia pessoal;André Gabeh
S05E39;Do Sul do Brasil ao Norte da América do Norte: como internacionalizei minha carreira no Canadá;Bruna Beatriz
S05E40;Born to be global - A importância da tradução de SEO;Luana Santos
S05E41;Traduzindo marketing;Filipe Alverca
S05E42;Da tendência à palavra: uma introdução à tradução de moda;Júlia Jacóbi
S05E43;Tudo que eu posso dizer sobre tradução audiovisual sem quebrar nenhum sigilo;Daniel Erlich
S05E44;Tradução animal! Uma ou duas coisinhas que você precisa saber antes de se aventurar nos textos de medicina veterinária;Luciana Bonancio
S05E45;Qualidade da tradução na era da revolução tecnológica;Aline Tomasuolo
S05E46;Línguas de trabalho: o que são e como mantê-las afiadas;Christiano Sanches
S05E47;Jurídico e ciência na interpretação de noticiário;Denise e Natalie
S05E48;O método Starbucks aplicado ao mundo da tradução;Aline Tomasuolo
S05E49;Arquivar, organizar e traduzir;Any Marry
S05E50;Termos de negócios e finanças que todo tradutor deve conhecer;Isa Mara Lando
S06E01;SEO - Sites que agradam o Google;Teresa Sousa
S06E02;"LocJAM - Soluções ""PraVer""";Luiz Fernando Alves
S06E03;Esports e jogos digitais competitivos - O que são, por que são importantes e casos de tradução e interpretação;Bhernardo Viana
S06E04;Inventar o trabalho dos outros?;Carlos Rutz
S06E05;Interpretando Altas Autoridades;Cláudia Chauvet
S06E06;MINHA nenhuma tradução é perfeita. Como aprender com a preparação de texto;Jana Bianchi e Fernanda
S06E07;Um passeio pela construção da literatura norte-americana;Tereza Marques de Oliveira Lima
S06E08;O nascimento e o renascimento da literatura traduzida;Ellen Maria
S06E09;É um livro? É um jogo? É uma HQ? A localização de livros-jogos e seus desafios;Bianca Melyna
S06E10;O tradutor profissional e a globalização;Jorge Rodrigues
S06E11;Hacks de interpretação e minha experiência com interpretação na sede do governo;Leonardo Padovani
S06E12;RSI 3 anos depois do fim do mundo: um balanço;Aldo Vidor
S06E13;Da tradução à versão: novos desafios para uma tradutora emigrante;Simone Campos
S06E14;Que tempo bom, que nunca volta mais;Karina Wuo
S06E15;10+ maneiras de traduzir provérbios e expressões idiomáticas;Reginaldo Francisco
S06E16;A interpretação consecutiva e outras práticas que te tornam um melhor intérprete de simultânea;Luana Carvalho
S06E17;TQAuditor grátis para tradutores;Jean Trindade
S06E18;Interpretação de auditorias e acompanhamento;Carmen Reis
S06E19;Desafios ao traduzir um artigo científico do inglês indiano ao português;Sofia Pulici
S06E20;A importância do networking para o tradutor;Felipe Tomasi
S06E21;Como é o credenciamento para intérpretes na UE: requisitos e a prova;Alexandra de Vries
S06E22;Tradutor: um eterno aprendiz;Cláudia Fleith
S06E23;Tradução pública: como era e como ficou após a nova legislação;Jorge Rodrigues
S06E24;Tradução criativa na localização de jogos;Ivan L. Lopes
S06E25;Montando passo a passo uma macro no Word;Victor Almeida
S06E26;Como a dramaturgia influencia a tradução audiovisual;Jacqueline Plaça
S06E27;Exorcize o seu texto: acabe com os possuídos!;Cláudia Mello Belhassof
S06E28;Rebranding: como se reinventar – sem reinventar a roda;Ana Carolina Ribeiro
S06E29;Exemplos práticos de multiculturalismo na tradução de inglês e português;Stephan Hughes
S06E30;Comunicação Acessível: Estratégias para integrar a acessibilidade a teatro, redes sociais, palestras e outras formas de diálogo;Fernanda Brahemcha
S06E31;I've Known Rivers - A tradução e o mercado editorial sob a perspectiva negra;Karine Ribeiro
S06E32;Para (não) audaciosos: por uma Poética do Traduzir;Amanda Moura
S06E33;Qualificações e Possibilidades para o Profissional Pós-editor;Andréia Souza e Larissa Albaladejo
S06E34;Por que preciso pensar sobre racismo se não sou racista?;Patricia Souza
S06E35;Language Lead? Que bicho é esse?;Mariana Ciocca Alves Passos
S06E36;Desafios da tradução;Renata Machado
S06E37;Interpretação de texto e tradução;Natalie Gerhardt
S06E38;“A arte da alta produtividade”Insights para empresários, profissionais liberais e autônomos;André Ribeiro
S06E39;Intérpretes pós-pandêmicos: aprendizados além da interpretação;Felipe Pazello
S06E40;A importância da inteligência emocional na rotina do profissional autônomo;Shirlei Fernandes Correa
S06E41;Driblando a sociedade do cansaço;Francine Oliveira
S06E42;O Papel dos Revisores na Produção de Livros Didáticos;Marianna La Vega
S06E43;Traduzindo um relatório do século XVIII sobre vampiros;Andressa Furlan Ferreira
S06E44;O gênero neutro está presente. E você, está no Presente ou no passado?;Thiago Hilger
S06E45;Traduzindo Clássicos;Petê Rissatti
S06E46;Jon Fosse no Brasil: A tradução de É a Ales;Guilherme Braga
S06E47;Prospecção de Clientes, Networking e Marketing Pessoal para Tradutores Introvertidos;Ivar Panazzolo Junior
S06E48;Ensaio sobre a curiosidade: como os verbos errar, aprender e mudar devem ser um mantra;Rafaela Mota Lemos
S06E49;Travessia Tradutória;Alison Entrekin
S07E01;Les casquettes du monde littéraire : navegando entre a criação e a tradução do texto.;Adriana Fernandes Morais Martins
S07E02;ProZ KudoZ além dos Pontos: Perspectivas e Possibilidades;Matheus R. Chaud
S07E03;De férias com o tradutor: Os desafios da tradução de reality shows;Will Xavier
S07E04;A tradução de obras audiovisuais derivadas na era transmídia: E agora, tradutor?;Paulo Noriega
S07E05;Tradução para dublagem de língua turca;Leandra Machado
S07E06;Audiodescrição de Cinema de Terror;Marcella Wiffler Stefanini
S07E07;Falando das pedras no caminho na tradução de ficção;Carlos César da Silva
S07E08;Construindo uma carreira de alto nível na interpretação;Denise Araújo, Aldo Vidor e Evelise Scapol
S07E09;Percy Jackson e a adaptação na tradução intersemiótica do livro para a tela.;Bianca da Costa
S07E10;É rir para não chorar: Os desafios da tradução do humor na dublagem;Marun Reis
S07E11;Como se preparar para o apocalipse zumbi;Denise Bobadilha
S07E12;É possível distinguir a tradução automática da tradução humana? Uma perspectiva baseada em corpus e aprendizagem de máquina;Aline Tomasuolo
S07E13;Direitos autorais para tradutores;Gabriela Colicigno
S07E14;Enshittification: ou como nos acostumamos à degradação das plataformas online;Deborah Cornelio e Jorge Davidson
S07E15;A Era da Informação (sob controle);Roney Belhassof
S07E16;O novo mercado de tradução: a revolução da inteligência artificial;Aline Tomasuolo
S07E17;A Tradução Financeira com Dinaura Julles;Dinaura Julles
S07E18;A cabeça do tradutor de russo – O processo de tradução de um clássico da ficção científica.;Robson Ortlibas
S07E19;Who they are – Estratégias de tradução do gênero não binário.;Karoline Melo
S07E20;Tradução jornalística, muito além das palavras;Katia Buffolo
S07E21;Ask Me Anything about Interpretainment;Maria Paula Carvalho
S07E22;Portuguese into English?! Brasileiros podem fazer versões de qualidade para o inglês?;Aline Tomasuolo
S07E23;Financeiro é a mãe: a ciência por trás do 'na volta a gente compra';Dea Moretto
S07E24;Interpretação religiosa: the good, the bad and the ugly;Felipe Pazello e Felipe Santos
S07E25;Caminhos da Tradução na graduação em Letras;Mirella Nunes Giracca e Silvana Ayub Polchlopek
S07E26;Controle financeiro e relação cliente contador;Luidg Quitete
S07E27;Criatividade de milhões, automatismo de centavos;Filipe Alverca
S07E28;Masterclass Inteligência Artificial em 2024;Ivan Martucci, Guilherme Gama e Ligia Sobral Fragano
S07E29;Viajando no tempo e na ficção científica - A tradução para dublagem de Time Patrol Bon;Vic Vieira Ramires
S07E30;Você quer traduzir jogos analógicos?;Mateus Ornellas
S07E31;TRADUSA 2024: Tudo sobre o V Encontro Brasileiro de Tradutores Especializados na Área da Saúde;Ana Julia Perrotti-Garcia, Cátia Santana e Patrícia Gimenez
S07E32;Gerentes de projetos: os maestros do setor de tradução e localização;Gisley Ferreira
S07E33;De tradutora literária a escritora;Natalie Gerhardt
S07E34;Quer aprender a traduzir para Dublagem?;Will Xavier
S07E35;Perspectivas da carreira do tradutor com a IA;Ricardo Souza, Jorge Davidson, Simone Vieira Resende e Carol Santiago
S07E36;MTPE – Exemplos práticos de Machine Translation Pós-Editing;Isa Mara Lando
S07E37;Masterclass: Você quer trabalhar na tradução de jogos?;Ivar P. Junior, Horacio Corral e Luciana G. Boldorini
S07E38;A IA e o mundo da tradução;Sandra Garcia
S07E39;Legenda automática: a vilã da vez;Andressa Gatto
S07E40;Tort Law 101 e os casos mais bizarros dos EUA;Fernanda Vitarelli
S07E41;Entre o Exílio, o Nobel e a ressurreição: Traduzindo Ivan Bunin;Robson Ortlibas
S07E42;Aplicação e uso de novas tecnologias na Terminologia: da atividade didática à publicação;Cátia Santana, Denise Delegá, Patrícia Gimenez e Horácio Corral
S07E43;A sutil arte de gerenciar o seu estresse;Giovana Boselli
S07E44;A tradução de literatura sul-coreana no Brasil: oportunidades e desafios;Núbia Tropéia
S07E45;Do manual à mesa: como explicar jogos ao público pode aprimorar as habilidades do tradutor;Jéssica Gubert e Raul Rocha
S07E46;Apresentando o English-Portuguese Dictionary o Verbal Collocations;Stella E. O. Tagnin
S07E47;"O Capacitismo nas Legendas Descritivas (LSE/SDH e CC)
Descrever ou Transcrever?";Diego Marsicano
S07E48;Gerente de projetos de tradução como perspectiva de carreira: mercado, funções e habilidades;Carolina Bisson
S07E49;O Tradutor Nunca Está Só: Conexões e Colaboração nos Bastidores da Tradução;Daniel Guidi
S07E50;Gramática não é tudo, mas é inescapável;William Cruz
S07E51;Entre Palavras e Mistérios: A Arte de Traduzir Arsène Lupin;Marco Hruschka, Luigi Ricciardi e Rafael Silvaro
S08E01;LinkedIn para Tradutores: O Caminho das Pedras (e os Tiros no Pé);Karine Souto
S08E02;Manipulando a IA Generativa — Inteligências Artificiais, Perigos Reais;Marcus Mangetti
S08E03;"O mundo dos mods no PC gaming; e como traduzi-los pode abrir portas!";Jean Trindade
S08E04;Localizando aplicativos móveis: uma jornada desafiadora e limitante!;Bruna Beatriz
S08E05;Corpora de Aprendizes de Tradução: Análise e Aplicações;Joacyr Oliveira
S08E06;Tradução e tecnologia: até que ponto elas caminham juntas?;Simone Brito
S08E07;Regex aplicado ao memoQ;Matheus Fabris
S08E08;Espelho, espelho na parede? Nem sempre é traduzindo que se traduz;Luiza Levy e Renato R. Geraldes
S08E09;Como integrar a ModernMT a seu fluxo de trabalho;Val Ivonica
S08E10;A ciência por trás dos jogos e o futuro dos diálogos;Leonardo Tórtoro
S08E11;Tradução e revisão de artigos científicos em inglês: desafios e estratégias para tradutores profissionais;Marina Araujo
S08E12;Missão impossível? Não! Como gerenciar projetos de tradução sem pirar;Jerusa Marreti
S08E13;Regulamentação da Inteligência Artificial no Brasil, nos Estados Unidos e na Europa;Dinaura Julles
S08E14;A ciência por trás dos jogos e o futuro dos diálogos;Leonardo Tórtoro Pereira
S08E15;Tradução Médica e ChatGPT: do Prontuário ao Prompt;Luciana Bonancio
S08E16;Vinte anos de tradução: Carta a jovens tradutores;Michel Teixeira
S08E17;Reflexões sobre estratégias de tradução;Sátia Marini
S08E18;Tradução Audiovisual: Workflow da demanda à entrega;Bruna Andrade
