Origem;Título;Palestrante
Spin-off_12;Literatura para a vida;Natália Estrella
Spin-off_13;Fotografia em casa;Camila Rodrigues
Spin-off_14;Uma conversa com Cleo Monteiro Lobato: alegrias e desafios de se traduzir Monteiro Lobato;Cleo Monteiro Lobato
Spin-off_15;Os intérpretes e a tecnologia: resultados de uma pesquisa longitudinal realizada entre 2020 e 2021;Marsel de Souza e Patrizia Cavallo
Spin-off_16;Do laudo à bula: a variedade de textos na tradução médica;Luciana Bonancio
Spin-off_17;Formação e mercado no par italiano-português: dicas para tradutores/intérpretes iniciantes e experientes;Patrizia Cavallo
Spin-off_18;“Só assisto legendado” X “Dublado é muito melhor!” – Será mesmo uma simples questão de preferência?;Deborah Cornélio e Dilma Machado
Spin-off_19;“Burnout” e o trabalho autônomo;Juliana e Fernanda
Spin-off_20 - 1;Oficina: Word Avançado para tradutores 1;Reginaldo Francisco
Spin-off_20 - 2;Oficina: Word Avançado para tradutores 2;Reginaldo Francisco
Spin-off_21;Aventuras de uma equipe brasileira no LocJam Made in Italy;Alquimistas da Localização
Spin-off_22;Wordscope + ChatGPT for Translators;Philippe Mercier
Spin-off_23;;
T101 + Phorte;Palavras que Cruzam Fronteiras: O Mundo da Interpretação de Conferências;Ana Julia Perrotti
T101 + Phorte;O estudo da língua inglesa;Jane G. Coury
T101 + Phorte;O ensino da interpretação;Maria Rosario Garcia Nieves
T101 + Phorte;A importância da formação do tradutor;Meritxell Almarza
T101 + Phorte;Tradução Literária vs Tradução Editorial;Petê Rissatti
T101 + Phorte;O ensino da terminologia para tradução;Simone Resende
T101-ABRATES;Prova de credenciamento da Abrates;Abrates
T101-APIC;Para compreender a síndrome do impostor;Tânia Mara Zalcberg
T101+QuijoTe;Interpretação Espanhol <> Português e a Tecnologia!;Marcelo Andreoti
Terça-feira da cultura;Terça-feira da cultura (1);Isa Mara Lando
Terça-feira da cultura;Terça-feira da cultura (2);Isa Mara Lando
Terça-feira da cultura;Terça-feira da cultura (3);Isa Mara Lando
Terça-feira da cultura;Terça-feira da cultura (4);Isa Mara Lando
Terça-feira da cultura;Terça-feira da cultura (5);Isa Mara Lando
TRADUSA;Assisti House. Estou pronto para traduzir;Luciana Bonancio
TRADUSA;Aula aberta do curso avançado de tradução médica;Luciana Bonancio e Gilson Mattos
TRADUSA;Aula aberta do curso avançado de tradução médica;Patricia Gimenez
Yoga;Yoga Nidra;Sofia Pulici
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
